rep,arm,mission,scenario,zones_installed,obstacles_installed,outcome,reason,plan_mode,zone_pass,plan_total_ms,chain_total_ms,frontend_ms,max_solve_ms,eikonal_ms,grid,ceiling_u,geo_z_max_u,pieces,flight_s,min_agl_u,env_viol_pct,env_peak_pct,env_peak_limit,risk_max,risk_exposure_s,hard_zone_contacts,hard_zone_contact_s,soft_zone_contacts,zone_policy_measurable,zone_sample_dt,obstacles_expected,obstacles_added,obstacles_deferred,obstacles_skipped,retry_fallback,seam_worst,zones_in_search,leaked_procs,log,log_src
1,on,r5_extended_corridor,r5_corridor_wall,8,8,CLEAN,,chain,2,7266.0,7267.0,2874.0,4384.0,2810.7,350x1960x111,29.9,6.26,329,1143.0,0.284,0.0,96.8,maximum thrust,0.0000,0.0,0,0.0,3,true,0.10,8,8,0,0,0,9.095e-13,8,0,on_r5_extended_corridor_r5_corridor_wall_r1.log,path_manager_20260811_151103.log
1,direct_off,r5_extended_corridor,r5_corridor_wall,8,8,CLEAN,,direct,2,17205.0,,,,2625.2,350x1960x111,29.9,6.26,,,0.358,0.0,95.3,maximum thrust,0.0000,0.0,0,0.0,3,true,0.10,8,8,0,0,2,,8,0,direct_off_r5_extended_corridor_r5_corridor_wall_r1.log,path_manager_20260811_151129.log
1,off,r5_transition_success_probe,r5_corridor_wall,8,8,REJECTED,no candidate survived propagation gates (see audit counters),,2,2887.0,,,,2802.4,350x1960x111,29.9,6.26,,,,,,,,,,,,,,8,8,0,0,0,,8,0,off_r5_transition_success_probe_r5_corridor_wall_r1.log,path_manager_20260811_151205.log
1,on,r5_transition_success_probe,r5_corridor_wall,8,8,REJECTED,no candidate survived propagation gates (see audit counters),,2,2887.0,,,,2802.2,350x1960x111,29.9,6.26,,,,,,,,,,,,,,8,8,0,0,0,,8,0,on_r5_transition_success_probe_r5_corridor_wall_r1.log,path_manager_20260811_151226.log
1,direct_off,r5_transition_success_probe,r5_corridor_wall,8,8,REJECTED,no candidate survived propagation gates (see audit counters),,2,2873.0,,,,2787.7,350x1960x111,29.9,6.26,,,,,,,,,,,,,,8,8,0,0,0,,8,0,direct_off_r5_transition_success_probe_r5_corridor_wall_r1.log,path_manager_20260811_151248.log
1,off,r5_transition_reject_probe,r5_corridor_wall,8,8,REJECTED,commanded start acceleration is not flyable by the model (inverse commands do not reproduce it inside the envelope),,2,2870.0,,,,2806.8,350x1960x111,29.9,6.26,,,,,,,,,,,,,,8,8,0,0,0,,8,0,off_r5_transition_reject_probe_r5_corridor_wall_r1.log,path_manager_20260811_151309.log
1,on,r5_transition_reject_probe,r5_corridor_wall,8,8,REJECTED,commanded start acceleration is not flyable by the model (inverse commands do not reproduce it inside the envelope),,2,2855.0,,,,2791.8,350x1960x111,29.9,6.26,,,,,,,,,,,,,,8,8,0,0,0,,8,0,on_r5_transition_reject_probe_r5_corridor_wall_r1.log,path_manager_20260811_151331.log
1,direct_off,r5_transition_reject_probe,r5_corridor_wall,8,8,REJECTED,commanded start acceleration is not flyable by the model (inverse commands do not reproduce it inside the envelope),,2,2878.0,,,,2814.4,350x1960x111,29.9,6.26,,,,,,,,,,,,,,8,8,0,0,0,,8,0,direct_off_r5_transition_reject_probe_r5_corridor_wall_r1.log,path_manager_20260811_151353.log
1,off,r6_zone_slalom,r6_slalom_gates,8,8,CLEAN,,chain,2,5831.0,5831.0,3108.0,2831.0,3057.9,621x1176x128,35.47,6.6,111,538.2,0.079,0.1,101.4,load factor,0.0539,0.3,0,0.0,164,true,0.10,8,8,0,0,3,1.017e-12,8,0,off_r6_zone_slalom_r6_slalom_gates_r1.log,path_manager_20260811_151414.log
1,on,r6_zone_slalom,r6_slalom_gates,8,8,CLEAN,,chain,2,5814.0,5814.0,3090.0,2832.0,3039.8,621x1176x128,35.47,6.6,111,538.2,0.079,0.1,101.4,load factor,0.0539,0.3,0,0.0,164,true,0.10,8,8,0,0,3,1.017e-12,8,0,on_r6_zone_slalom_r6_slalom_gates_r1.log,path_manager_20260811_151438.log
