rep,arm,mission,scenario,zones_installed,obstacles_installed,outcome,reason,plan_mode,zone_pass,plan_total_ms,chain_total_ms,frontend_ms,max_solve_ms,eikonal_ms,grid,ceiling_u,geo_z_max_u,pieces,flight_s,min_agl_u,env_viol_pct,env_peak_pct,env_peak_limit,risk_max,risk_exposure_s,hard_zone_contacts,hard_zone_contact_s,soft_zone_contacts,zone_policy_measurable,zone_sample_dt,obstacles_expected,obstacles_added,obstacles_deferred,obstacles_skipped,retry_fallback,seam_worst,zones_in_search,leaked_procs,yaw_seed,standoff_zone_contacts,zone_clearance_qmin,plan_outcome,plan_reason,yaw_seed_mode,hard_zone_qmin,hard_zone_t0,hard_zone_t1,hard_zone_runs,log,log_src
1,off,r4_long_range_traverse,r4_traverse_chain,10,10,CLEAN,,chain,1,3946.0,3946.0,2378.0,1549.0,2294.7,2377x458x128,35.25,8.71,467,1904.4,0.364,0.0,100.3,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,10,10,0,0,0,9.095e-13,10,0,1083084342,0,0.63005,,,FIXED,,,,,off_r4_long_range_traverse_r4_traverse_chain_r1.log,path_manager_20260812_075218.log
1,on,r4_long_range_traverse,r4_traverse_chain,10,10,CLEAN,,chain,1,3952.0,3953.0,2345.0,1588.0,2264.3,2377x458x128,35.25,8.71,467,1905.5,0.15,0.3,106.6,bank angle,0.0000,0.0,0,0.0,0,true,0.10,10,10,0,0,0,1.017e-12,10,0,1083084342,0,0.62947,,,FIXED,,,,,on_r4_long_range_traverse_r4_traverse_chain_r1.log,path_manager_20260812_075241.log
1,direct_off,r4_long_range_traverse,r4_traverse_chain,10,10,CLEAN,,direct,1,10507.0,,,,2000.8,2377x458x128,35.25,8.71,,,0.385,0.0,96.6,bank angle,0.0000,0.0,0,0.0,0,true,0.10,10,10,0,0,2,,10,0,1083084342,0,0.63037,DEGRADED,auto-N below threshold (phase mode: direct),FIXED,,,,,direct_off_r4_long_range_traverse_r4_traverse_chain_r1.log,path_manager_20260812_075304.log
1,off,r5_extended_corridor,r5_corridor_wall,8,8,CLEAN,,chain,2,8364.0,8364.0,3151.0,5203.0,3083.2,350x1960x111,29.9,6.26,329,1142.9,0.399,0.0,96.6,maximum thrust,0.0000,0.0,0,0.0,3,true,0.10,8,8,0,0,0,1.286e-12,8,0,1206331407,0,,,,FIXED,,,,,off_r5_extended_corridor_r5_corridor_wall_r1.log,path_manager_20260812_075332.log
1,on,r5_extended_corridor,r5_corridor_wall,8,8,CLEAN,,chain,2,8184.0,8184.0,3136.0,5039.0,3067.8,350x1960x111,29.9,6.26,329,1143.0,0.284,0.0,96.8,maximum thrust,0.0000,0.0,0,0.0,3,true,0.10,8,8,0,0,0,9.095e-13,8,0,1206331407,0,,,,FIXED,,,,,on_r5_extended_corridor_r5_corridor_wall_r1.log,path_manager_20260812_075359.log
1,direct_off,r5_extended_corridor,r5_corridor_wall,8,8,CLEAN,,direct,2,18965.0,,,,2830.1,350x1960x111,29.9,6.26,,,0.358,0.0,95.3,maximum thrust,0.0000,0.0,0,0.0,3,true,0.10,8,8,0,0,2,,8,0,1206331407,0,,DEGRADED,auto-N below threshold (phase mode: direct),FIXED,,,,,direct_off_r5_extended_corridor_r5_corridor_wall_r1.log,path_manager_20260812_075426.log
1,off,r5_transition_success_probe,r5_corridor_wall,8,8,REJECTED,no candidate survived propagation gates (see audit counters),,2,3090.0,,,,2998.2,350x1960x111,29.9,6.26,,,,,,,,,,,,,,8,8,0,0,0,,8,0,703449073,,,FAILED,no candidate survived propagation gates (see audit counters),FIXED,,,,,off_r5_transition_success_probe_r5_corridor_wall_r1.log,path_manager_20260812_075503.log
1,on,r5_transition_success_probe,r5_corridor_wall,8,8,REJECTED,no candidate survived propagation gates (see audit counters),,2,3137.0,,,,3046.7,350x1960x111,29.9,6.26,,,,,,,,,,,,,,8,8,0,0,0,,8,0,703449073,,,FAILED,no candidate survived propagation gates (see audit counters),FIXED,,,,,on_r5_transition_success_probe_r5_corridor_wall_r1.log,path_manager_20260812_075525.log
1,direct_off,r5_transition_success_probe,r5_corridor_wall,8,8,REJECTED,no candidate survived propagation gates (see audit counters),,2,2920.0,,,,2834.0,350x1960x111,29.9,6.26,,,,,,,,,,,,,,8,8,0,0,0,,8,0,703449073,,,FAILED,no candidate survived propagation gates (see audit counters),FIXED,,,,,direct_off_r5_transition_success_probe_r5_corridor_wall_r1.log,path_manager_20260812_075547.log
1,off,r5_transition_reject_probe,r5_corridor_wall,8,8,REJECTED,commanded start acceleration is not flyable by the model (inverse commands do not reproduce it inside the envelope),,2,2861.0,,,,2796.9,350x1960x111,29.9,6.26,,,,,,,,,,,,,,8,8,0,0,0,,8,0,1494289997,,,FAILED,commanded start acceleration is not flyable by the model (inverse commands do no,FIXED,,,,,off_r5_transition_reject_probe_r5_corridor_wall_r1.log,path_manager_20260812_075609.log
1,on,r5_transition_reject_probe,r5_corridor_wall,8,8,REJECTED,commanded start acceleration is not flyable by the model (inverse commands do not reproduce it inside the envelope),,2,2859.0,,,,2795.2,350x1960x111,29.9,6.26,,,,,,,,,,,,,,8,8,0,0,0,,8,0,1494289997,,,FAILED,commanded start acceleration is not flyable by the model (inverse commands do no,FIXED,,,,,on_r5_transition_reject_probe_r5_corridor_wall_r1.log,path_manager_20260812_075631.log
1,direct_off,r5_transition_reject_probe,r5_corridor_wall,8,8,REJECTED,commanded start acceleration is not flyable by the model (inverse commands do not reproduce it inside the envelope),,2,2827.0,,,,2763.9,350x1960x111,29.9,6.26,,,,,,,,,,,,,,8,8,0,0,0,,8,0,1494289997,,,FAILED,commanded start acceleration is not flyable by the model (inverse commands do no,FIXED,,,,,direct_off_r5_transition_reject_probe_r5_corridor_wall_r1.log,path_manager_20260812_075652.log
