rep,arm,mission,scenario,zones_installed,obstacles_installed,outcome,reason,zone_pass,total_ms,frontend_ms,max_solve_ms,eikonal_ms,grid,ceiling_u,geo_z_max_u,pieces,flight_s,min_agl_u,env_viol_pct,env_peak_pct,env_peak_limit,hard_zone_contacts,retry_fallback,seam_worst,zones_in_search,leaked_procs,log
4,on,r5_transition_success_probe,r5_corridor_wall,8,8,REJECTED,no candidate survived propagation gates (see audit counters),2,,,,2811.0,350x1960x111,29.9,6.26,,,,,,,,0,,8,0,path_manager_20260811_090317.log
4,off,r5_transition_reject_probe,r5_corridor_wall,8,8,REJECTED,commanded start acceleration is not flyable by the model (inverse commands do not reproduce it inside the envelope),2,,,,2814.6,350x1960x111,29.9,6.26,,,,,,,,0,,8,0,path_manager_20260811_090339.log
4,on,r5_transition_reject_probe,r5_corridor_wall,8,8,REJECTED,commanded start acceleration is not flyable by the model (inverse commands do not reproduce it inside the envelope),2,,,,2787.9,350x1960x111,29.9,6.26,,,,,,,,0,,8,0,path_manager_20260811_090400.log
4,off,r6_zone_slalom,r6_slalom_gates,8,8,CLEAN,,2,5902.0,3111.0,2899.0,3060.6,621x1176x128,35.47,6.6,111,538.2,0.079,0.1,101.4,load factor,,3,1.017e-12,8,0,path_manager_20260811_090422.log
4,on,r6_zone_slalom,r6_slalom_gates,8,8,CLEAN,,2,5837.0,3113.0,2834.0,3062.7,621x1176x128,35.47,6.6,111,538.2,0.079,0.1,101.4,load factor,,3,1.017e-12,8,0,path_manager_20260811_090446.log
4,off,r7_encircled_goal,r7_goal_ring,8,8,REJECTED,N=2 shared handoff admits no arrival retry; single-shot fallback failed too,1,,,,269.6,917x356x97,27.95,5.56,,,,,0.0,,,1,,8,0,path_manager_20260811_090509.log
4,on,r7_encircled_goal,r7_goal_ring,8,8,REJECTED,N=2 shared handoff admits no arrival retry; single-shot fallback failed too,1,,,,259.8,917x356x97,27.95,5.56,,,,,0.0,,,1,,8,0,path_manager_20260811_090528.log
5,off,r1_coastal_terrain_following,r1_dynamic_surface_obstacles,2,5,CLEAN,,1,1029.0,992.0,34.0,971.8,1969x489x120,32.05,6.19,98,828.6,0.632,0.0,95.8,maximum thrust,,0,2.221e-16,2,0,path_manager_20260811_090546.log
5,on,r1_coastal_terrain_following,r1_dynamic_surface_obstacles,2,5,CLEAN,,1,1062.0,1021.0,37.0,1000.7,1969x489x120,32.05,6.17,100,828.3,0.723,0.0,93.7,maximum thrust,,0,4.547e-13,2,0,path_manager_20260811_090605.log
5,off,r2_high_altitude_probe,,0,0,CLEAN,,,541.0,346.0,193.0,330.6,537x950x98,32.25,10.14,98,482.7,0.579,0.0,94.3,maximum thrust,,0,9.095e-13,0,0,path_manager_20260811_090625.log
5,on,r2_high_altitude_probe,,0,0,CLEAN,,,527.0,338.0,186.0,322.9,537x950x98,32.25,10.14,98,482.7,0.579,0.0,94.3,maximum thrust,,0,9.095e-13,0,0,path_manager_20260811_090637.log
5,off,r2_ridge_crossing,r2_ridge_gauntlet,6,6,CLEAN,,1,,,,1098.8,726x1139x124,34.28,10.28,,,0.29,0.0,99.2,bank angle,,2,,6,0,path_manager_20260811_090648.log
5,on,r2_ridge_crossing,r2_ridge_gauntlet,6,6,CLEAN,,1,,,,1115.5,726x1139x124,34.28,10.28,,,0.29,0.0,99.2,bank angle,,2,,6,0,path_manager_20260811_090737.log
5,off,r3_mountain_terrain_following,r3_dense_corridor,9,10,CLEAN,,1,5974.0,631.0,5340.0,598.8,356x718x134,36.89,8.0,159,326.8,0.29,0.4,101.9,bank angle,,1,9.095e-13,9,0,path_manager_20260811_090821.log
5,on,r3_mountain_terrain_following,r3_dense_corridor,9,10,CLEAN,,1,6015.0,648.0,5364.0,615.5,356x718x134,36.89,8.0,159,326.9,0.285,0.4,101.9,bank angle,,1,9.095e-13,9,0,path_manager_20260811_090845.log
5,off,r3_mountain_terrain_following,r3_dense_overlap,7,7,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,1,,,,679.3,467x763x125,34.29,7.1,,,,,5492.0,,,3,,7,0,path_manager_20260811_090908.log
5,on,r3_mountain_terrain_following,r3_dense_overlap,7,7,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,1,,,,679.9,467x763x125,34.29,7.1,,,,,5492.0,,,3,,7,0,path_manager_20260811_090927.log
5,off,r3_mountain_terrain_following,r3_goal_in_zone,1,1,CLEAN,,1,10097.0,328.0,9767.0,310.6,279x763x125,34.29,7.75,141,322.3,0.083,0.8,104.6,bank angle,,0,1.017e-12,1,0,path_manager_20260811_090946.log
