Time,BR710_N1[0],BR710_N2[0],Direct Thrust (engine 0 in lbs),BR710_N1[1],BR710_N2[1],Direct Thrust (engine 1 in lbs),Fuel Tank 0,Fuel Tank 1,Fuel Tank 2,/fdm/jsbsim/aero/alphadot-deg_sec,/fdm/jsbsim/aero/betadot-deg_sec,/fdm/jsbsim/velocities/ve-kts,/fdm/jsbsim/velocities/vc-kts,/fdm/jsbsim/velocities/mach,/fdm/jsbsim/aero/beta-deg,/fdm/jsbsim/aero/alpha-deg,/fdm/jsbsim/velocities/vtrue-kts,/fdm/jsbsim/gear/gear-cmd-norm,/fdm/jsbsim/position/h-agl-ft
7.284,7.42667,7.42667,0,7.42667,7.42667,0,8097.63,8097.63,8097.63,0.0272834596500940441,-0.00157917551266267874,299.815195566149384,301.254906016121424,0.496172193744331747,-0.00411641790627441124,-15.3459402079781615,322.605261492444527,1,4923.35197838711429
7.286,7.4343,7.4343,0,7.4343,7.4343,0,8097.63,8097.63,8097.63,0.0282986615604704748,-0.00157829396339086311,299.831500251542025,301.271166793513146,0.496191492167013248,-0.00411957487242232447,-15.3458843863391774,322.618759730857732,1,4922.52347163425384
7.288,7.44194,7.44194,0,7.44194,7.44194,0,8097.63,8097.63,8097.63,0.029309817207764155,-0.00157741304058627821,299.847816173683725,301.287438792718092,0.496210805148576573,-0.00412273007600493131,-15.3458265402244756,322.632267922767198,1,4921.69460215945401
7.29,7.44958,7.44958,0,7.44958,7.44958,0,8097.63,8097.63,8097.63,0.0303169223069012991,-0.00157653274332107034,299.864143330667048,301.303722011752257,0.496230132685898662,-0.00412588351821903919,-15.3457666777330264,322.645786066121161,1,4920.8653700887362
7.292,7.45723,7.45723,0,7.45723,7.45723,0,8097.63,8097.63,8097.63,0.0313199726363282624,-0.00157565307066727411,299.880481720495879,301.320016448549154,0.496249474775847244,-0.00412903520036063919,-15.3457048069722735,322.659314158844779,1,4920.03577557090557
7.294,7.46489,7.46489,0,7.46489,7.46489,0,8097.63,8097.63,8097.63,0.0323189640530840774,-0.00157477402171449341,299.896831341169275,301.336322101031897,0.496268831415247413,-0.00413218512366698727,-15.3456409360580075,322.672852198839678,1,4919.20581873525589
7.296,7.47256,7.47256,0,7.47256,7.47256,0,8097.63,8097.63,8097.63,0.0333138924749841192,-0.00157389559557058424,299.913192190698339,301.352638967138944,0.496288202600875361,-0.00413533328939701909,-15.3455750731142047,322.686400183984574,1,4918.37549972733996
7.298,7.48023,7.48023,0,7.48023,7.48023,0,8097.63,8097.63,8097.63,0.0343047539006780117,-0.00157301779135753887,299.929564267090257,301.368967044798978,0.496307588329465366,-0.00413847969878867843,-15.3455072262728702,322.69995811213488,1,4917.54481868294624
7.3,7.48792,7.48792,0,7.48792,7.48792,0,8097.63,8097.63,8097.63,0.0352915443882029084,-0.00157214060821987234,299.945947568194697,301.385306331792492,0.496326988597767915,-0.00414162435306816585,-15.3454374036739498,322.713525981122586,1,4916.7137757508799
7.302,7.49561,7.49561,0,7.49561,7.49561,0,8097.63,8097.63,8097.63,0.0362742600649228267,-0.00157126404531659049,299.962342092009351,301.401656826039471,0.49634640340243158,-0.00414476725346378787,-15.3453656134651446,322.727103788756096,1,4915.88237105392363
7.304,7.5033,7.5033,0,7.5033,7.5033,0,8097.63,8097.63,8097.63,0.0372528971336865342,-0.00157038810181755269,299.978747836425271,301.418018525353432,0.496365832740102486,-0.00414790840126062765,-15.3452918638018172,322.740691532821018,1,4915.0506047473873
7.306,7.51101,7.51101,0,7.51101,7.51101,0,8097.63,8097.63,8097.63,0.0382274518651902345,-0.00156951277690774854,299.995164799261488,301.434391427482694,0.49638527660741022,-0.0041510477976579108,-15.3452161628467838,322.754289211079083,1,4914.2184769605492
7.308,7.51872,7.51872,0,7.51872,7.51872,0,8097.63,8097.63,8097.63,0.0391979205953630963,-0.00156863806979295789,300.01159297846749,301.450775530294834,0.496404735000888941,-0.00415418544392909782,-15.3451385187702911,322.767896821268778,1,4913.38598783572888
7.31,7.52644,7.52644,0,7.52644,7.52644,0,8097.63,8097.63,8097.63,0.0401642997290484888,-0.00156776397969670203,300.028032371802112,301.467170831475357,0.4964242079171029,-0.00415732134129212592,-15.3450589397497392,322.78151436110528,1,4912.55313751520953
7.312,7.53417,7.53417,0,7.53417,7.53417,0,8097.63,8097.63,8097.63,0.0411265857461254672,-0.00156689050584762294,300.044482977153962,301.48357732883494,0.496443695352520697,-0.00416045549097224677,-15.3449774339696301,322.795141828280123,1,4911.71992613153816
7.314,7.54191,7.54191,0,7.54191,7.54191,0,8097.63,8097.63,8097.63,0.0420847751901575612,-0.00156601764751214531,300.060944792238558,301.499995020013216,0.496463197303633585,-0.00416358789419424627,-15.3448940096214486,322.808779220461133,1,4910.88635383351266
7.316,7.54965,7.54965,0,7.54965,7.54965,0,8097.63,8097.63,8097.63,0.0430388646682535528,-0.00156514540394541986,300.077417814867658,301.516423902744123,0.496482713766851713,-0.00416671855221491944,-15.3448086749034562,322.822426535293232,1,4910.05242074392299
7.318,7.5574,7.5574,0,7.5574,7.5574,0,8097.63,8097.63,8097.63,0.0439888508684985954,-0.00156427377443494405,300.093902042797765,301.532863974705549,0.49650224473856136,-0.00416984746623279973,-15.3447214380205832,322.836083770397465,1,4909.21812702782518
